OBJECTID,GlobalID,headCount,GUID,Name,Count,CreationDate,Creator,EditDate,Editor
97,2f484c5b-1e7e-4a6d-bb52-3705a9472409,,f3612386-ae51-4f87-8d15-42d2cb28b96b,,1,3/31/2023 12:59:26 AM,fherrera11_ucmerced,3/31/2023 12:59:26 AM,fherrera11_ucmerced
98,3e2bc31f-0c18-4045-bb62-7d259613d4a6,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,30,3/31/2023 12:59:53 AM,fherrera11_ucmerced,3/31/2023 12:59:53 AM,fherrera11_ucmerced
99,8db7c347-880b-4e56-9ee2-13dd32501f47,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,54,3/31/2023 1:00:49 AM,fherrera11_ucmerced,3/31/2023 1:00:49 AM,fherrera11_ucmerced
100,4a0f9511-0c92-4dcd-9be8-1e42e84d924f,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,45,3/31/2023 1:01:02 AM,fherrera11_ucmerced,3/31/2023 1:01:02 AM,fherrera11_ucmerced
101,013532cf-383c-4b3a-9314-8782a3b3a75d,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,58,3/31/2023 1:01:12 AM,fherrera11_ucmerced,3/31/2023 1:01:12 AM,fherrera11_ucmerced
102,76269437-caef-4893-9fae-0eccbfbfc155,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,24,3/31/2023 1:01:31 AM,fherrera11_ucmerced,3/31/2023 1:01:31 AM,fherrera11_ucmerced
103,50bfbefa-f6ca-489d-b7ce-4e28bf248e89,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,10,3/31/2023 1:01:40 AM,fherrera11_ucmerced,3/31/2023 1:01:40 AM,fherrera11_ucmerced
104,a06a4969-889b-4299-93e8-717112e51997,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,9,3/31/2023 1:01:49 AM,fherrera11_ucmerced,3/31/2023 1:01:49 AM,fherrera11_ucmerced
105,cd2131a1-4b1f-40fd-ae3c-6bf2f674d864,,abb6b141-d674-4caa-9fe5-ac5cf426007e,,24,3/31/2023 1:02:06 AM,fherrera11_ucmerced,3/31/2023 1:02:06 AM,fherrera11_ucmerced
106,38b60c54-5f1b-48a1-a934-1ee1672c0608,,abb6b141-d674-4caa-9fe5-ac5cf426007e,,25,3/31/2023 1:02:15 AM,fherrera11_ucmerced,3/31/2023 1:02:15 AM,fherrera11_ucmerced
