ObjectID,Unit ID,Use Type,Name,Long Name,Level ID,Schedule Email,Capacity,Area ID,Assignment Type,Gross Area,Relative Height,Reservation Method,Created User,Created Date,Last Edited User,Last Edited Date,GlobalID,Validation status,Lable,Shape__Area,Shape__Length
255,UCM.KL.L2.201,TUTORIAL,"201
BRIGHT
SUCCESS
CENTER","201
BRIGHT
SUCCESS
CENTER, L2",UCM.KL.L2,,,,none,267.303259987744,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,88b5ff58-9de2-4ad1-87df-06b4c7f1d60c,2,1,39.38671875,26.4290272760976
256,UCM.KL.L2.201A,TUTORIAL,201A,"201A, L2",UCM.KL.L2,,,,none,147.037880182299,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,b54b75f9-4e6a-4513-9256-1cd8b9378c49,2,1,21.66796875,18.7498872951092
257,UCM.KL.L2.201B,TUTORIAL,201B,"201B, L2",UCM.KL.L2,,,,none,162.030966387124,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,24cc60f9-ba23-4d55-b393-a2122c059f0f,2,1,23.87109375,19.6251784556649
258,UCM.KL.L2.222P-02,"222P-02
OTHER OFF",222P-02,"222P-02, L2",UCM.KL.L2,,,,none,34.6839432676196,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,cbda7a69-7bb1-4d80-8617-d6473e1adf30,2,,5.10546875,9.31186883102623
259,UCM.KL.L2.222P-01,"222P-01
OTHER
OFF",222P-01,"222P-01, L2",UCM.KL.L2,,,,none,34.6849099584614,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,4be2976e-70d4-4683-b986-2a17ebd955e1,2,,5.10546875,9.31200184875225
260,UCM.KL.L2.222P,"222P
OTHER
OFF","222P
STUDENT
EMPLOYEE
WORKSTATIONS","222P
STUDENT
EMPLOYEE
WORKSTATIONS, L2",UCM.KL.L2,,,,none,42.690167757942,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,5dccc531-b6fa-4d27-ad08-e2875cd07796,2,,6.28515625,10.5028405117625
261,UCM.KL.L2.222L-02,"222L-02
OTHER
OFF",222L-02,"222L-02, L2",UCM.KL.L2,,,,none,17.0184601070609,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,909980c0-5fd6-463c-a4f1-b024da833698,2,,2.50390625,6.33489922735393
262,UCM.KL.L2.222L-03,"222L-03
OTHER
OFF",222L-03,"222L-03, L2",UCM.KL.L2,,,,none,27.9062480441726,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,a974f519-caaa-4ed8-9988-ba326f899b58,2,,4.11328125,9.55095138081525
263,UCM.KL.L2.222L-01,"222L-01
OTHER
OFF",222L-01,"222L-01, L2",UCM.KL.L2,,,,none,17.5885965018162,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,2561f92e-56c3-435e-b2e7-8692f36abc0d,2,,2.59375,6.59230884459021
264,UCM.KL.L2.222L,"222L-01
OTHER
OFF",222L-01,"222L-01, L2",UCM.KL.L2,,,,none,112.424338733539,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,4f1469ac-8a0c-4e9a-bb12-16366bb876b4,2,,16.56640625,16.3949165253437
265,UCM.KL.L2.222F-02,"222F
OTHER
OFF","222F
STEP
SCHOLARS","222F
STEP
SCHOLARS, L2",UCM.KL.L2,,,,none,148.235483082867,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,606b8e38-55fd-4515-8ef1-c6a990a60c25,2,,21.83984375,18.761671996732
266,UCM.KL.L2.222F-02,"222F-02
OTHER
OFF",222F-02,"222F-02, L2",UCM.KL.L2,,,,none,34.9327897901269,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,a52af821-ead8-43d2-b050-5b8c41ec0ae3,2,,5.14453125,9.09990245507059
267,UCM.KL.L2.222F-03,"222F-03
OTHER
OFF",222F-03,"222F-03, L2",UCM.KL.L2,,,,none,34.9313859668486,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,a911ce51-961b-419b-b362-22bc4899a25f,2,,5.140625,9.09983028538674
268,UCM.KL.L2.222F-01,"222F-01
OTHER
OFF",222F-01,"222F-01, L2",UCM.KL.L2,,,,none,33.7651582779297,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,98cb4439-5b77-485a-bd9f-8ce068c6555a,2,,4.97265625,8.96593610823663
269,UCM.KL.L2.222E-03,"222E-02
OTHER
OFF",222E-02,"222E-02, L2",UCM.KL.L2,,,,none,149.459248928022,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,aaf4d213-4f8f-4fab-b5ff-abfa94bba105,2,,22.01953125,18.8327006410957
270,UCM.KL.L2.222E-02,"222E-02
OTHER
OFF",222E-02,"222E-02, L2",UCM.KL.L2,,,,none,34.9313874753282,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,97414955-7915-4704-80d9-beefb1a6cd99,2,,5.15234375,9.09983029023916
271,UCM.KL.L2.222E-03,"222E-03
OTHER
OFF",222E-03,"222E-03, L2",UCM.KL.L2,,,,none,34.383678524775,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,ddddd9d0-c461-4d81-bcf7-8080af1b1c3d,2,,5.06640625,9.02265238009721
272,UCM.KL.L2.222E-01,"222E-01
OTHER OFF",222E-01,"222E-01, L2",UCM.KL.L2,,,,none,39.9623358621766,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,a130abd3-3ebb-48a3-998f-7d954ed114b7,2,,5.88671875,9.71540453880146
273,UCM.KL.L2.222T-01,"222T
OTHER
OFF","222T
BRIGHT
SUCCESS
CENTER","222T
BRIGHT
SUCCESS
CENTER, L2",UCM.KL.L2,,,,none,111.977127513747,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,2a055126-bea8-45e0-a48d-a92efb5081f3,2,,16.49609375,16.2858384051341
274,UCM.KL.L2.222T-03,"222T-03
OTHER
OFF",222T-03,"222T-03, L2",UCM.KL.L2,,,,none,21.027279708704,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,61631ad8-5ded-48ac-8d5b-8cacfe8138fa,2,,3.1015625,7.10976727630137
275,UCM.KL.L2.222T-02,"222T-02
OTHER
OFF",222T-02,"222T-02, L2",UCM.KL.L2,,,,none,19.8371484128324,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,c5c52f8b-c0ad-4701-870e-be06d4c6fd7d,2,,2.9296875,6.81650132098077
276,UCM.KL.L2.222T-01,"222T-01
OTHER
OFF",222T-01,"222T-01, L2",UCM.KL.L2,,,,none,27.613792609134,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,237a3e8a-4c28-494c-92d4-2965eb7658a2,2,,4.05859375,8.83450011204351
277,UCM.KL.L2.275,"275Y
OTHER
OFF","275Y
HOTEL","275Y
HOTEL, L2",UCM.KL.L2,,,,none,1477.29820787326,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,56a8eea4-5da4-4de2-bcae-145bcca94b6b,2,,217.66796875,102.858633037524
278,UCM.KL.L2.275Y,"275Y
OTHER
OFF","275Y
HOTEL","275Y
HOTEL, L2",UCM.KL.L2,,,,none,69.9911712410747,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,5b6c1226-e1b5-4454-9380-ca67157016fc,2,,10.31640625,13.217395050258
279,UCM.KL.L2.275W,"275W
OTHER
OFF",275W,"275W, L2",UCM.KL.L2,,,,none,71.3472863110255,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,76eb4dd2-5baa-49bf-afc4-eb9c178683a7,2,,10.51171875,12.9707750176775
